Contact ID|Device ID|CarePack SKU|Carepack AppID|Contract #|Date of Purchase|Pre Tax Price|Application List Price|Campaign ID|Promo Code|Country|Sales Tax| VAT Amount|Currency
25327|1234556789|3507WW|App-com.hp.app.carepack-1.0.0|999901202321126|2011-06-28 00:00:00.0|79.0|0.0|||MX|7.9|0.0|CAD
25327|1234556790|3508WW|App-com.hp.app.carepack-1.0.0|999901202321127|2011-06-28 00:00:00.0|89.0|0.0|||MX|7.9|0.0|CAD
25327|1234556790|3509WW|App-com.hp.app.carepack-1.0.0|999901202321128|2011-06-28 00:00:00.0|179.0|0.0|||MX|7.9|0.0|CAD
25327|1234556789|3507WW|App-com.hp.app.carepack-1.0.0|999901202321129|2011-06-28 00:00:00.0|0.0|79.0|100|ABCDDEFI|MX|0.0|0.0|CAD
25327|1234556790|3508WW|App-com.hp.app.carepack-1.0.0|999901202321130|2011-06-28 00:00:00.0|0.0|89.0|100|ABCDDEFH|MX|0.0|0.0|CAD
25327|1234556790|3509WW|App-com.hp.app.carepack-1.0.0|999901202321131|2011-06-28 00:00:00.0|0.0|179.0|100|ABCDDEFG|MX|0.0|0.0|CAD
25327|1234556789|3507WW|App-com.hp.app.carepack-1.0.0|999901202321138|2011-06-28 00:00:00.0|57.0248|0.0|||MX|0.0|11.9752|EUR
25327|1234556790|3508WW|App-com.hp.app.carepack-1.0.0|999901202321139|2011-06-28 00:00:00.0|65.2893|0.0|||MX|0.0|13.7107|EUR
25327|1234556790|3509WW|App-com.hp.app.carepack-1.0.0|999901202321140|2011-06-28 00:00:00.0|123.1405|0.0|||MX|0.0|25.8595|EUR
25327|1234556789|3507WW|App-com.hp.app.carepack-1.0.0|999901202321141|2011-06-28 00:00:00.0|0.0|57.0248|100|ABCDDEFI|MX1|0.0|0.0|EUR
25327|1234556790|3508WW|App-com.hp.app.carepack-1.0.0|999901202321142|2011-06-28 00:00:00.0|0.0|65.2893|100|ABCDDEFH|MX|0.0|0.0|EUR
25327|1234556790|3509WW|App-com.hp.app.carepack-1.0.0|999901202321143|2011-06-28 00:00:00.0|0.0|123.1405|100|ABCDDEFG|MX|0.0|0.0|EUR
25327|1234556789|3507WW|App-com.hp.app.carepack-1.0.0|999901202321150|2011-06-28 00:00:00.0|48.7603|0.0|||MX|0.0|10.2397|GBP
25327|1234556790|3508WW|App-com.hp.app.carepack-1.0.0|999901202321151|2011-06-28 00:00:00.0|57.0248|0.0|||MX|0.0|11.9752|GBP
25327|1234556790|3509WW|App-com.hp.app.carepack-1.0.0|999901202321152|2011-06-28 00:00:00.0|106.6116|0.0|||MX|0.0|22.3884|GBP
25327|1234556789|3507WW|App-com.hp.app.carepack-1.0.0|999901202321153|2011-06-28 00:00:00.0|0.0|48.7603|100|ABCDDEFI|MX|0.0|0.0|GBP
25327|1234556790|3508WW|App-com.hp.app.carepack-1.0.0|999901202321154|2011-06-28 00:00:00.0|0.0|57.0248|100|ABCDDEFH|MX|0.0|0.0|GBP
25327|1234556790|3509WW|App-com.hp.app.carepack-1.0.0|999901202321155|2011-06-28 00:00:00.0|0.0|106.6116|100|ABCDDEFG|MX|0.0|0.0|GBP
25327|1234556789|3507WW|App-com.hp.app.carepack-1.0.0|999901202321162|2011-06-28 00:00:00.0|79.0|0.0|||MX|7.9|0.0|MXN
25327|1234556790|3508WW|App-com.hp.app.carepack-1.0.0|999901202321163|2011-06-28 00:00:00.0|89.0|0.0|||MX|7.9|0.0|MXN
25327|1234556790|3509WW|App-com.hp.app.carepack-1.0.0|999901202321164|2011-06-28 00:00:00.0|179.0|0.0|||MX|7.9|0.0|MXN
0|1234556789|3507WW|App-com.hp.app.carepack-1.0.0|999901202321165|2011-06-28 00:00:00.0|0.0|79.0|100|ABCDDEFI|MX|0.0|0.0|
25327|1234556790|3508WW|App-com.hp.app.carepack-1.0.0|999901202321166|2011-06-28 00:00:00.0|0.0|89.0|100|ABCDDEFH|MX|0.0|0.0|MXN
25327|1234556790|3509WW|App-com.hp.app.carepack-1.0.0|999901202321167|2011-06-28 00:00:00.0|0.0|179.0|100|ABCDDEFG|MX|0.0|0.0|MXN
25327|1234556789|3507WW|App-com.hp.app.carepack-1.0.0|999901202321174|2011-06-28 00:00:00.0|79.0|0.0|||MX|7.9|0.0|USD
25327|1234556790|3508WW|App-com.hp.app.carepack-1.0.0|999901202321175|2011-06-28 00:00:00.0|89.0|0.0|||MX|7.9|0.0|USD
25327|1234556790|3509WW|App-com.hp.app.carepack-1.0.0|999901202321176|2011-06-28 00:00:00.0|179.0|0.0|||MX|7.9|0.0|USD
25327|1234556789|3507WW|App-com.hp.app.carepack-1.0.0|999901202321177|2011-06-28 00:00:00.0|79.0|0.0|||MX|0.0|0.0|USD
25327|1234556790|3508WW|App-com.hp.app.carepack-1.0.0|999901202321178|2011-06-28 00:00:00.0|89.0|0.0||||||USD
25327|1234556790|3509WW|App-com.hp.app.carepack-1.0.0|999901202321179|2011-06-28 00:00:00.0|179.0|0.0|||MX|0.0|0.0|
25327|1234556789|3507WW|App-com.hp.app.carepack-1.0.0|999901202321180|2011-06-28 00:00:00.0|0.0|79.0|100|ABCDDEFI|MX|0.0|0.0|USD
25327|1234556790|3508WW|App-com.hp.app.carepack-1.0.0|999901202321181|2011-06-28 00:00:00.0|0.0|89.0|100|ABCDDEFH|MX|0.0|0.0|USD
25327|1234556790|3509WW|App-com.hp.app.carepack-1.0.0|999901202321182|2011-06-28 00:00:00.0|0.0|179.0|100|ABCDDEFG|MX|0.0|0.0|INR
